problem_id,condition,layer,metric,value
102,cot,20,trajectory_curvature,2.52734375
102,cot,21,trajectory_curvature,2.5234375
102,cot,22,trajectory_curvature,2.525390625
102,cot,23,trajectory_curvature,2.521484375
102,cot,24,trajectory_curvature,
102,cot,0,commitment_sharpness,1.46484375
102,cot,1,commitment_sharpness,1.400390625
102,cot,2,commitment_sharpness,1.23046875
102,cot,3,commitment_sharpness,1.2255859375
102,cot,4,commitment_sharpness,1.2939453125
102,cot,5,commitment_sharpness,1.2783203125
102,cot,6,commitment_sharpness,1.3525390625
102,cot,7,commitment_sharpness,1.373046875
102,cot,8,commitment_sharpness,1.3271484375
102,cot,9,commitment_sharpness,1.251953125
102,cot,10,commitment_sharpness,1.2373046875
102,cot,11,commitment_sharpness,1.244140625
102,cot,12,commitment_sharpness,1.2392578125
102,cot,13,commitment_sharpness,1.2666015625
102,cot,14,commitment_sharpness,1.251953125
102,cot,15,commitment_sharpness,1.275390625
102,cot,16,commitment_sharpness,1.3173828125
102,cot,17,commitment_sharpness,1.2861328125
102,cot,18,commitment_sharpness,1.26171875
102,cot,19,commitment_sharpness,1.263671875
102,cot,20,commitment_sharpness,1.3076171875
102,cot,21,commitment_sharpness,1.240234375
102,cot,22,commitment_sharpness,1.240234375
102,cot,23,commitment_sharpness,1.2685546875
102,cot,24,commitment_sharpness,
102,direct,0,next_layer_corr,-0.014396630666187083
102,direct,1,next_layer_corr,0.8325652119966517
102,direct,2,next_layer_corr,0.8246974558415059
102,direct,3,next_layer_corr,0.8532308122680222
102,direct,4,next_layer_corr,0.8591536961669889
102,direct,5,next_layer_corr,0.8569401915655647
102,direct,6,next_layer_corr,0.8868371948110739
102,direct,7,next_layer_corr,0.9150574654239105
102,direct,8,next_layer_corr,0.9173438258245284
102,direct,9,next_layer_corr,0.9199766712691126
102,direct,10,next_layer_corr,0.9203676296733647
102,direct,11,next_layer_corr,0.9228716730429268
102,direct,12,next_layer_corr,0.9362613286341481
102,direct,13,next_layer_corr,0.9245393854315789
102,direct,14,next_layer_corr,0.8389564317903739
102,direct,15,next_layer_corr,0.8510508955845184
102,direct,16,next_layer_corr,0.7686706286853343
102,direct,17,next_layer_corr,0.8747783026190492
102,direct,18,next_layer_corr,0.867558577427036
102,direct,19,next_layer_corr,0.8537719435201432
102,direct,20,next_layer_corr,0.8582827020820302
102,direct,21,next_layer_corr,0.8859180727184032
102,direct,22,next_layer_corr,0.9219490454370453
102,direct,23,next_layer_corr,0.3128692314665496
102,direct,0,trajectory_curvature,2.63671875
102,direct,1,trajectory_curvature,2.60546875
102,direct,2,trajectory_curvature,2.578125
102,direct,3,trajectory_curvature,2.509765625
102,direct,4,trajectory_curvature,2.498046875
102,direct,5,trajectory_curvature,2.5
102,direct,6,trajectory_curvature,2.498046875
102,direct,7,trajectory_curvature,2.509765625
102,direct,8,trajectory_curvature,2.529296875
102,direct,9,trajectory_curvature,2.51953125
102,direct,10,trajectory_curvature,2.525390625
102,direct,11,trajectory_curvature,2.515625
102,direct,12,trajectory_curvature,2.51171875
102,direct,13,trajectory_curvature,2.509765625
102,direct,14,trajectory_curvature,2.5
102,direct,15,trajectory_curvature,2.5078125
102,direct,16,trajectory_curvature,2.515625
102,direct,17,trajectory_curvature,2.515625
102,direct,18,trajectory_curvature,2.51953125
102,direct,19,trajectory_curvature,2.53125
102,direct,20,trajectory_curvature,2.548828125
102,direct,21,trajectory_curvature,2.521484375
102,direct,22,trajectory_curvature,2.5546875
102,direct,23,trajectory_curvature,2.56640625
102,direct,24,trajectory_curvature,2.529296875
102,direct,0,commitment_sharpness,1.259765625
102,direct,1,commitment_sharpness,1.0712890625
102,direct,2,commitment_sharpness,1.0615234375
102,direct,3,commitment_sharpness,1.1435546875
102,direct,4,commitment_sharpness,1.091796875
102,direct,5,commitment_sharpness,1.0458984375
102,direct,6,commitment_sharpness,1.0625
102,direct,7,commitment_sharpness,1.04296875
102,direct,8,commitment_sharpness,1.0478515625
102,direct,9,commitment_sharpness,1.0390625
102,direct,10,commitment_sharpness,1.041015625
102,direct,11,commitment_sharpness,1.0322265625
102,direct,12,commitment_sharpness,1.0126953125
102,direct,13,commitment_sharpness,1.005859375
102,direct,14,commitment_sharpness,1.005859375
102,direct,15,commitment_sharpness,1.037109375
102,direct,16,commitment_sharpness,1.03125
102,direct,17,commitment_sharpness,1.2490234375
102,direct,18,commitment_sharpness,1.30859375
102,direct,19,commitment_sharpness,1.34765625
102,direct,20,commitment_sharpness,1.298828125
102,direct,21,commitment_sharpness,1.189453125
102,direct,22,commitment_sharpness,1.2255859375
102,direct,23,commitment_sharpness,1.2529296875
102,direct,24,commitment_sharpness,1.3037109375
103,cot,0,next_layer_corr,0.010893846496657268
103,cot,1,next_layer_corr,0.809397502624208
103,cot,2,next_layer_corr,0.8709216938523926
103,cot,3,next_layer_corr,0.8661112717319386
103,cot,4,next_layer_corr,0.850385911295802
103,cot,5,next_layer_corr,0.8428117463896351
103,cot,6,next_layer_corr,0.8647192952773097
103,cot,7,next_layer_corr,0.8817511635885273
103,cot,8,next_layer_corr,0.8984661762145032
103,cot,9,next_layer_corr,0.9220570454201682
103,cot,10,next_layer_corr,0.9338027181213214
103,cot,11,next_layer_corr,0.9232046912001686
103,cot,12,next_layer_corr,0.937672464857168
103,cot,13,next_layer_corr,0.932523434047599
103,cot,14,next_layer_corr,0.90892757891047
103,cot,15,next_layer_corr,0.9051194349932468
103,cot,16,next_layer_corr,0.8757720034293919
103,cot,17,next_layer_corr,0.9301941444926668
103,cot,18,next_layer_corr,0.9517219621690659
103,cot,19,next_layer_corr,0.9418282777904696
103,cot,20,next_layer_corr,0.933027171007455
