mag_bin,layer,metric,cohens_d,n_g4,n_g2
Extra Large,7,cos_to_late_window,-1.2257486068096948,31,6
Extra Large,8,radius_of_gyration,3.1466045495581216,31,6
Extra Large,8,effective_dim,2.282814255078195,31,6
Extra Large,8,msd_exponent,4.28079177446904,31,6
Extra Large,8,cos_to_late_window,-1.055174297173581,31,6
Extra Large,9,radius_of_gyration,2.8021594717964193,31,6
Extra Large,9,effective_dim,2.257618279559373,31,6
Extra Large,9,msd_exponent,3.886513312688341,31,6
Extra Large,9,cos_to_late_window,-1.2871828233021156,31,6
Extra Large,10,radius_of_gyration,2.3884774592297986,31,6
Extra Large,10,effective_dim,2.272411943057486,31,6
Extra Large,10,msd_exponent,3.6288599787558216,31,6
Extra Large,10,cos_to_late_window,-1.3489874320150916,31,6
Extra Large,11,radius_of_gyration,2.418984815049714,31,6
Extra Large,11,effective_dim,2.283009756270276,31,6
Extra Large,11,msd_exponent,4.467370040576534,31,6
Extra Large,11,cos_to_late_window,-1.4451802561571188,31,6
Extra Large,12,radius_of_gyration,2.6205862323769558,31,6
Extra Large,12,effective_dim,2.337144216951785,31,6
Extra Large,12,msd_exponent,5.298025189205284,31,6
Extra Large,12,cos_to_late_window,-1.1875927033393063,31,6
Extra Large,13,radius_of_gyration,2.923597923579484,31,6
Extra Large,13,effective_dim,2.374898941233661,31,6
Extra Large,13,msd_exponent,5.847912875172008,31,6
Extra Large,13,cos_to_late_window,-1.3005292443384056,31,6
Extra Large,14,radius_of_gyration,3.2334073241870325,31,6
Extra Large,14,effective_dim,2.4278638912856385,31,6
Extra Large,14,msd_exponent,6.1482948124899695,31,6
Extra Large,14,cos_to_late_window,-1.3145897535120536,31,6
Extra Large,15,radius_of_gyration,3.151648356668267,31,6
Extra Large,15,effective_dim,2.5275141008012767,31,6
Extra Large,15,msd_exponent,4.55256063150596,31,6
Extra Large,15,cos_to_late_window,-1.1465268353845726,31,6
Extra Large,16,radius_of_gyration,3.4776077343829375,31,6
Extra Large,16,effective_dim,2.484903568166369,31,6
Extra Large,16,msd_exponent,5.297098911139305,31,6
Extra Large,16,cos_to_late_window,-1.014486306799832,31,6
Extra Large,17,radius_of_gyration,2.224194902464097,31,6
Extra Large,17,effective_dim,3.0581124366260846,31,6
Extra Large,17,msd_exponent,4.322531607059162,31,6
Extra Large,17,cos_to_late_window,-0.7461671680951711,31,6
Extra Large,18,radius_of_gyration,1.5624757072451505,31,6
Extra Large,18,effective_dim,2.811062668748933,31,6
Extra Large,18,msd_exponent,5.001354525652186,31,6
Extra Large,18,cos_to_late_window,-0.7429342404897503,31,6
Extra Large,19,radius_of_gyration,0.979392781538572,31,6
Extra Large,19,effective_dim,2.7310795003544013,31,6
Extra Large,19,msd_exponent,5.291036757201499,31,6
Extra Large,19,cos_to_late_window,-0.6658606490406854,31,6
Extra Large,20,radius_of_gyration,0.9415001763498795,31,6
Extra Large,20,effective_dim,2.6646789057130187,31,6
Extra Large,20,msd_exponent,4.867259783684402,31,6
Extra Large,20,cos_to_late_window,-0.7588266982254188,31,6
Extra Large,21,radius_of_gyration,1.0215448650050376,31,6
Extra Large,21,effective_dim,2.4551027839058923,31,6
Extra Large,21,msd_exponent,4.813276837189553,31,6
Extra Large,21,cos_to_late_window,-0.7514614917968838,31,6
Extra Large,22,radius_of_gyration,0.44697921168463434,31,6
Extra Large,22,effective_dim,2.3446126072908733,31,6
Extra Large,22,msd_exponent,5.610497513633529,31,6
Extra Large,22,cos_to_late_window,-0.7969408785290727,31,6
Extra Large,23,radius_of_gyration,0.4710077532828321,31,6
Extra Large,23,effective_dim,2.278220395288868,31,6
Extra Large,23,msd_exponent,6.200749944658715,31,6
Extra Large,23,cos_to_late_window,-0.8249879752346471,31,6
Extra Large,24,radius_of_gyration,2.6826080827079792,31,6
Extra Large,24,effective_dim,1.859675584249091,31,6
Extra Large,24,msd_exponent,4.20714736784823,31,6
Extra Large,24,cos_to_late_window,-1.2439916435795915,31,6
