comparison,g1,g2,layer,metric,g1_mean,g2_mean,cohens_d,p_value,significant
CoT Success vs Direct Failure,G4,G1,1,turning_angle,2.0531321747955187,2.0220942844746084,0.3531133671366499,0.0,False
CoT Success vs Direct Failure,G4,G1,1,dir_autocorr,-0.4574963789884285,-0.427325350293426,-0.3912710733952277,0.0,False
CoT Success vs Direct Failure,G4,G1,1,tortuosity,0.03278398900522508,0.3058275628914144,-2.6074961746470398,0.0,True
CoT Success vs Direct Failure,G4,G1,1,effective_dim,11.608010924985056,2.7023908206989673,6.00401928880373,0.0,True
CoT Success vs Direct Failure,G4,G1,1,cos_slope,-0.0015032680876107042,0.1405487573026028,-1.9962110445770067,0.0,True
CoT Success vs Direct Failure,G4,G1,1,dist_slope,0.0035983187234995997,-0.4308997412352326,1.0316223117809293,0.0,True
CoT Success vs Direct Failure,G4,G1,1,early_late_ratio,0.9197127533065899,1.190846112357477,-0.6321805748789969,0.0,True
CoT Success vs Direct Failure,G4,G1,1,radius_of_gyration,4.251450220031054,3.332426268079503,5.073877978823787,0.0,True
CoT Success vs Direct Failure,G4,G1,1,gyration_anisotropy,0.8302707063902741,0.8685185114568298,-0.4045579597072938,0.0,False
CoT Success vs Direct Failure,G4,G1,1,drift_to_spread,1.4334812618691826,1.567891984092079,-0.5453280435972502,0.0,True
CoT Success vs Direct Failure,G4,G1,1,dir_autocorr_lag2,-0.06150134914500358,-0.06658323040051801,0.17301249756740494,0.252,False
CoT Success vs Direct Failure,G4,G1,1,dir_autocorr_lag4,0.08372302478933161,0.10020138190852267,-0.2952861910693284,0.052,False
CoT Success vs Direct Failure,G4,G1,1,dir_autocorr_lag8,-0.0025667720788832846,-0.005334828214512911,0.03883362656976105,0.802,False
CoT Success vs Direct Failure,G4,G1,1,vel_autocorr_lag1,-17.248180949634502,-12.421219309344563,-1.6388281849362758,0.0,True
CoT Success vs Direct Failure,G4,G1,1,vel_autocorr_lag2,-2.1014837138855937,-2.1949173671103295,0.09867396290120184,0.48,False
CoT Success vs Direct Failure,G4,G1,1,vel_autocorr_lag4,2.499938978591199,3.0963789840539295,-0.3258823379656288,0.05,False
CoT Success vs Direct Failure,G4,G1,1,msd_exponent,0.02131789885018364,-0.040148743566958016,3.0621498195883343,0.0,True
CoT Success vs Direct Failure,G4,G1,1,cos_to_running_mean,0.5364241455702504,0.8117931185851451,-4.466920582995274,0.0,True
CoT Success vs Direct Failure,G4,G1,1,cos_to_late_window,0.3904776133496665,0.5155589428212908,-4.465807753053719,0.0,True
CoT Success vs Direct Failure,G4,G1,1,time_to_commit,14.165919282511211,9.133333333333333,0.5061201653694097,0.006,True
CoT Success vs Direct Failure,G4,G1,1,recurrence_rate,0.01005352234919711,0.009784850946695003,0.016635606385392892,0.84,False
CoT Success vs Direct Failure,G4,G1,1,determinism,0.4775304292120436,0.5977136999168903,-0.3727539127051627,0.012,False
CoT Success vs Direct Failure,G4,G1,1,laminarity,0.0,0.03724052531642156,-1.6974763769103982,0.0,True
CoT Success vs Direct Failure,G4,G1,1,diagonal_entropy,0.010849673322189904,0.5441055212914062,-3.32348612898974,0.0,True
CoT Success vs Direct Failure,G4,G1,1,psd_slope,-1.3552712056882665,-0.3909610162240134,-1.8307851630583212,0.0,True
CoT Success vs Direct Failure,G4,G1,1,spectral_entropy,0.8438579798956546,0.93759199696643,-2.5122580556131493,0.0,True
CoT Success vs Direct Failure,G4,G1,2,speed,8.104198100855532,6.881448799781953,3.3626524140483105,0.0,True
CoT Success vs Direct Failure,G4,G1,2,dir_consistency,0.04163601799897277,0.33671439896047356,-2.8105942895006604,0.0,True
CoT Success vs Direct Failure,G4,G1,2,stabilization,0.013440500156468643,-0.3718143718682551,0.7968213135974914,0.0,True
CoT Success vs Direct Failure,G4,G1,2,turning_angle,2.0244818984660333,1.9907169419261608,0.5053691804721994,0.0,True
CoT Success vs Direct Failure,G4,G1,2,dir_autocorr,-0.43533605243593054,-0.40434425978160843,-0.5269841330169438,0.0,True
CoT Success vs Direct Failure,G4,G1,2,tortuosity,0.03473679388919214,0.3304652057829415,-2.6972122193917327,0.0,True
CoT Success vs Direct Failure,G4,G1,2,effective_dim,12.12227631042891,2.8959400263415676,5.649636447164867,0.0,True
CoT Success vs Direct Failure,G4,G1,2,cos_slope,-0.0006872171951969767,0.10731464485466982,-2.0099998814917677,0.0,True
CoT Success vs Direct Failure,G4,G1,2,dist_slope,0.008916650134700924,-0.7033770056622287,1.6110219779187018,0.0,True
CoT Success vs Direct Failure,G4,G1,2,early_late_ratio,0.9211976127239621,1.1804043994199762,-1.6432714975501148,0.0,True
CoT Success vs Direct Failure,G4,G1,2,radius_of_gyration,5.915399348254696,4.5827611631710035,5.645202705908619,0.0,True
CoT Success vs Direct Failure,G4,G1,2,gyration_anisotropy,0.8561368508624818,0.8966741772477929,-0.5709470914573048,0.0,True
CoT Success vs Direct Failure,G4,G1,2,drift_to_spread,1.4751977075910354,1.6888508176514012,-1.1503527264197775,0.0,True
CoT Success vs Direct Failure,G4,G1,2,dir_autocorr_lag2,-0.07600559622483667,-0.06121828696960881,-0.5585348108420262,0.004,True
CoT Success vs Direct Failure,G4,G1,2,dir_autocorr_lag4,0.08083660586950087,0.10499336419420106,-0.43599353373667976,0.006,False
CoT Success vs Direct Failure,G4,G1,2,dir_autocorr_lag8,-0.006446187714846409,0.0013268829219871198,-0.1152211786746256,0.458,False
CoT Success vs Direct Failure,G4,G1,2,vel_autocorr_lag1,-29.451485236129418,-20.354356588755113,-2.3017025892896457,0.0,True
CoT Success vs Direct Failure,G4,G1,2,vel_autocorr_lag2,-4.95068215254711,-3.9084852366678176,-0.6782380932113004,0.0,True
CoT Success vs Direct Failure,G4,G1,2,vel_autocorr_lag4,4.8551461615102705,5.799100291728974,-0.28190253552077427,0.084,False
CoT Success vs Direct Failure,G4,G1,2,msd_exponent,0.053259623838189704,-0.004874453853526079,3.0212982020499384,0.0,True
CoT Success vs Direct Failure,G4,G1,2,cos_to_running_mean,0.6661641306406714,0.8312527589402344,-4.407333334085237,0.0,True
CoT Success vs Direct Failure,G4,G1,2,cos_to_late_window,0.5566281144394468,0.6382491125000848,-3.6460558705451858,0.0,True
CoT Success vs Direct Failure,G4,G1,2,time_to_commit,19.233183856502244,11.444444444444445,1.0590661529343555,0.0,True
CoT Success vs Direct Failure,G4,G1,2,recurrence_rate,0.0006147837407782242,0.0004312793055500786,0.16008858220705907,0.092,False
CoT Success vs Direct Failure,G4,G1,2,determinism,0.0,0.16129032258064516,-0.775717070009881,0.004,True
CoT Success vs Direct Failure,G4,G1,2,laminarity,0.0,0.0,0.0,1.0,False
CoT Success vs Direct Failure,G4,G1,2,psd_slope,-0.9200957796669548,-0.2995802473673731,-1.3908618313755894,0.0,True
CoT Success vs Direct Failure,G4,G1,2,spectral_entropy,0.8856361019235057,0.9214131139955402,-0.9432923430731637,0.0,True
CoT Success vs Direct Failure,G4,G1,3,speed,9.816586263511214,9.31626069497483,1.4838916311208896,0.0,True
