comparison,group_a,group_b,layer,metric,mean_a,mean_b,std_a,std_b,mean_diff,p_value,cohens_d,significant,n_a,n_b
CoT Success vs Direct Fail,G4,G1,1,dir_autocorr_lag8,0.10705723959151718,0.003199414707275784,0.08900524351581578,0.06405313408068772,0.10385782488424139,0.0,1.2768883144697059,True,253,132
CoT Success vs Direct Fail,G4,G1,1,vel_autocorr_lag1,-184.12464548947784,-318.1158658807928,23.79494923810244,42.430881358109495,133.99122039131495,0.0,4.2621075675951925,True,253,132
CoT Success vs Direct Fail,G4,G1,1,vel_autocorr_lag2,-42.8891035916777,-21.52886462544627,7.508827287530127,31.54865450966007,-21.36023896623143,0.0,-1.0993319937366797,True,253,132
CoT Success vs Direct Fail,G4,G1,1,vel_autocorr_lag4,72.80277839244118,-4.817088317916249,31.308584347582006,66.58673745579058,77.61986671035743,0.0,1.6695443233403546,True,253,132
CoT Success vs Direct Fail,G4,G1,1,msd_exponent,0.054681506856059686,0.12062729986846975,0.00927308799580307,4.030873102503982e-05,-0.06594579301241006,0.0,-8.767175450039812,True,253,132
CoT Success vs Direct Fail,G4,G1,1,cos_to_running_mean,0.15794247271043982,0.13749496683929902,0.005679149022222929,0.0023912604613043204,0.020447505871140803,0.0,4.2472947907992715,True,253,132
CoT Success vs Direct Fail,G4,G1,1,cos_to_late_window,0.5693140127677692,0.505634491416541,0.043531612162920945,0.04421742736253631,0.06367952135122812,0.0,1.4549534180160308,True,253,132
CoT Success vs Direct Fail,G4,G1,1,time_to_commit,3.0,3.0,0.0,0.0,0.0,1.0,,False,253,132
CoT Success vs Direct Fail,G4,G1,1,recurrence_rate,0.0004195637764455886,0.00016801075268817048,0.00029610539945189047,0.0010581226254205538,0.00025155302375741813,0.0,0.37895436939738136,True,253,132
CoT Success vs Direct Fail,G4,G1,1,determinism,0.11270823417420277,0.75,0.30816007636369597,0.5,-0.6372917658257973,0.0032,-2.042302447919481,True,191,4
CoT Success vs Direct Fail,G4,G1,1,laminarity,0.0,0.0,0.0,0.0,0.0,1.0,,False,191,4
CoT Success vs Direct Fail,G4,G1,1,diagonal_entropy,0.052123883169070406,-1.000088900581841e-12,0.17305837425383522,0.0,0.052123883170070495,1.0,0.31458529900133175,False,23,3
CoT Success vs Direct Fail,G4,G1,1,psd_slope,-3.931112366316162,-5.143250921680967,0.18748969060194934,0.4802507253519197,1.2121385553648052,0.0,3.795045090386746,True,253,132
CoT Success vs Direct Fail,G4,G1,1,spectral_entropy,0.29093046093425495,0.28975925396367297,0.0006817606451641902,0.00018870534058177738,0.0011712069705819839,0.0,2.0769227164536597,True,253,132
CoT Success vs Direct Fail,G4,G1,2,speed,201.5591334768906,421.95169321695965,27.969986761456088,1.4874948190427728,-220.39255974006906,0.0,-9.706993843027766,True,253,132
CoT Success vs Direct Fail,G4,G1,2,dir_consistency,0.04010796622767039,0.057267163231065725,0.006313646201970398,0.004279212440722755,-0.017159197003395334,0.0,-3.01033540011269,True,253,132
CoT Success vs Direct Fail,G4,G1,2,stabilization,-16.487282936565602,-73.82990389344803,4.404011135262325,0.12583576592407647,57.34262095688243,0.0,16.048561408833542,True,253,132
CoT Success vs Direct Fail,G4,G1,2,turning_angle,1.9736683038854788,1.9688388750408634,0.01528995904553425,0.011838851466286483,0.004829428844615347,0.0017,0.339999580899647,True,253,132
CoT Success vs Direct Fail,G4,G1,2,dir_autocorr,-0.38837160446898267,-0.3840768906203183,0.013665881292123108,0.010557173739063857,-0.0042947138486643666,0.0014,-0.33847072029864883,True,253,132
CoT Success vs Direct Fail,G4,G1,2,tortuosity,0.8627764504888783,0.9341651688922535,0.03505055604943774,0.003287995677302799,-0.07138871840337524,0.0,-2.5052018023629175,True,253,132
