comparison,group1,group2,layer,metric,cohens_d,perm_p,significant,n1,n2
Direct Success vs Direct Failure,G2,G1,25,speed,-0.38267574376908225,0.003,True,198,102
Direct Success vs Direct Failure,G2,G1,26,speed,-0.3875617539550295,0.003,True,198,102
Direct Success vs Direct Failure,G2,G1,27,speed,0.07692048620724869,0.539,False,198,102
Direct Success vs Direct Failure,G2,G1,28,speed,-1.9435624601831094,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,0,dir_consistency,1.0915385028197695,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,1,dir_consistency,0.9340655153591111,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,2,dir_consistency,0.5366121797632074,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,3,dir_consistency,0.47950661554979945,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,4,dir_consistency,0.9322794654854881,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,5,dir_consistency,0.1087880530838733,0.331,False,198,102
Direct Success vs Direct Failure,G2,G1,6,dir_consistency,0.24670697444663262,0.051,False,198,102
Direct Success vs Direct Failure,G2,G1,7,dir_consistency,0.6265427485158842,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,8,dir_consistency,0.6558706094732782,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,9,dir_consistency,0.5863196828562667,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,10,dir_consistency,0.8078267038533417,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,11,dir_consistency,1.014786044598244,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,12,dir_consistency,0.9116826522118996,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,13,dir_consistency,0.8496986595072239,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,14,dir_consistency,0.796747559227547,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,15,dir_consistency,0.9680244924553844,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,16,dir_consistency,1.2148279815549459,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,17,dir_consistency,1.246672822194328,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,18,dir_consistency,1.4268650999400492,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,19,dir_consistency,1.0902679804543232,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,20,dir_consistency,0.9432818005857749,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,21,dir_consistency,1.1272258589945157,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,22,dir_consistency,0.7922268530634753,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,23,dir_consistency,0.9006995953237265,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,24,dir_consistency,0.7769130032128974,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,25,dir_consistency,0.7122939088993726,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,26,dir_consistency,0.8083008009519556,0.0,True,198,102
